filename,title,description,feature,topic,role,level
./metadata.md,,,,,,
././help/TOC.md,,,Adaptive Forms,,Business Practitioner,
./help/introduction.md,Introduction,Speed up the conversion of print forms to adaptive forms ,,,,
./help/release-notes.md,What's new? Release notes - Automated Forms Conversion Service,Learn about the latest features and bug fixed for Automated Forms Conversion Service ,,,,
./help/styles-and-pattern-considerations-and-best-practices.md,Best practices and considerations ,Best practices and considerations for Automated Forms Conversion service,,,,
./help/configure-service.md,Configure the Automated Forms Conversion service,Ready your AEM instance to use Automated Forms Conversion service,,,"Business Practitioner, Administrator",
./help/convert-existing-forms-to-adaptive-forms.md,Convert PDF forms to adaptive forms ,Run the Automated Forms Conversion service to convert PDF forms to adaptive forms,,,,
./help/review-correct-ui-edited.md,Review and correct converted forms,Review and correct the adaptive forms converted by the Automated Forms Conversion service.,,,,
./help/extending-the-default-meta-model.md,Extend the default meta-model,"Extend the default meta-model to add pattern, validations, and entities specific to your organization and apply configurations to adaptive form fields while running the Automated Forms Conversion service.",,,,
./help/prefill-submit-forms.md,Recommended data source-based prefill and submit workflows for adaptive forms,Data-source based prefill and submit workflows for adaptive forms generated using Automated Forms Conversion Service.,,,,
./help/enable-document-of-record-generation.md,Generate Document of Record during conversion,Recommended paths to generate a DoR based on the type of source forms used for conversion.,,,,
./help/submit-converted-adaptive-form-to-database.md,Submit the converted adaptive forms with a JSON schema to database,Submit the converted adaptive forms with a JSON schema to database by creating a form data model and referring to it in an AEM workflow.,,,,
./help/frequently-asked-questions.md,Frequently asked questions,Common queries or frequently asked questions,,,,
./help/known-issues.md,Known Issues,known issues and limitations for Automated Forms Conversion Service,,,,
./help/troubleshoot-afcs.md,Troubleshoot Automated Forms Conversion Service ,Common AFCS issues and their solutions ,,,,
